instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
sympy__sympy-19783,resolved,unknown,21,30,7,31,8,1.380952380952381,9,3.0,0.3333333333333333,5,1,37,4:python,6,0.35,early,5,1.1,True,4,4.0,4,2.25,False,0,False,True,11,7,False,True,False,"('localization',)",4,4.0,1,4,0,0,0,0
sympy__sympy-15875,unresolved,unknown,20,28,5,24,13,1.2,5,3.2,0.14285714285714285,5,2,33,9:cd,5,0.34,early,3,1.0,False,4,3.33,3,1.5,False,2,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-3151,resolved,unknown,9,10,1,11,7,1.1111111111111112,2,3.5,0.2,4,3,11,1:python,2,0.36,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7748,unresolved,unknown,14,14,6,15,13,1.0,1,2.0,0.07142857142857142,2,2,20,12:submit,2,0.47,early,1,1.0,False,4,3.0,3,1.75,False,3,False,True,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-7236,resolved,unknown,15,28,1,20,8,1.4666666666666666,8,2.875,0.25,5,2,29,0:cd,9,0.24,early,5,1.4,True,2,2.0,1,1.0,False,0,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-16450,resolved,unknown,14,14,6,15,13,1.0,1,3.0,0.07142857142857142,3,3,20,11:submit,2,0.47,early,1,1.0,False,4,3.33,3,1.75,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11815,resolved,unknown,16,34,0,25,6,1.5625,10,3.0,0.29411764705882354,4,2,34,1:cd,10,0.54,mixed,10,1.73,True,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11999,unresolved,unknown,23,52,2,37,7,1.608695652173913,15,3.0,0.28846153846153844,3,3,54,5:cd,16,0.06,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,13,13,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pytest-dev__pytest-5787,unresolved,unknown,18,26,4,19,10,1.2777777777777777,6,2.5,0.19230769230769232,4,2,30,6:cd,7,0.26,early,3,1.0,False,3,2.67,2,1.67,False,2,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8548,unresolved,unknown,31,62,11,63,15,1.1612903225806452,6,4.0,0.2903225806451613,9,2,73,25:str_replace_editor: view,14,0.48,mixed,21,2.0,True,4,3.95,21,6.75,True,0,False,False,24,7,True,True,False,"('localization',)",14,5.67,3,4,13,0,0,0
django__django-11133,resolved,unknown,13,19,3,16,8,1.2307692307692308,4,3.0,0.21052631578947367,4,2,22,4:cd,4,0.4,early,3,1.14,True,3,2.5,2,1.33,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12774,unresolved,unknown,24,45,1,34,11,1.4583333333333333,13,3.8461538461538463,0.26666666666666666,8,2,46,4:cd,11,0.04,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-12973,unresolved,unknown,9,9,2,10,8,1.0,1,2.0,0.1111111111111111,2,2,11,7:submit,2,0.3,early,1,1.0,False,2,2.0,2,1.5,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-7454,unresolved,unknown,19,38,5,23,12,1.2105263157894737,5,6.4,0.21052631578947367,9,1,43,4:complex_command,5,0.26,early,7,1.43,True,3,2.75,3,2.0,True,1,False,False,10,10,True,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15252,unresolved,unknown,5,5,0,6,4,1.0,1,2.0,0.2,2,2,5,3:submit,2,0.17,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-14598,unresolved,unknown,14,18,6,16,9,1.2142857142857142,4,3.75,0.2222222222222222,6,2,24,1:python,4,0.68,mixed,1,1.3,True,4,4.0,4,1.75,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15851,resolved,unknown,13,16,2,14,8,1.2307692307692308,4,2.25,0.25,3,2,18,5:python,4,0.18,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15930,unresolved,unknown,56,96,13,76,29,1.3571428571428572,21,3.8095238095238093,0.21875,17,2,109,13:cd,21,0.26,late,4,1.0,False,4,3.56,7,3.5,True,3,False,True,16,15,False,False,False,N/A,1,1.0,1,1,0,0,0,0
django__django-14608,resolved,unknown,26,48,5,37,11,1.4230769230769231,12,3.1666666666666665,0.25,5,2,53,7:cd,12,0.12,early,4,1.0,False,3,3.0,3,2.0,False,1,False,False,6,5,False,False,False,"('validation',)",1,1.0,1,0,1,0,0,0
matplotlib__matplotlib-22865,unresolved,unknown,12,13,3,14,9,1.0833333333333333,2,2.5,0.15384615384615385,3,2,16,6:python,2,0.57,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14500,unresolved,unknown,8,8,3,9,7,1.0,1,2.0,0.125,2,2,11,6:submit,2,0.44,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-13142,unresolved,unknown,16,19,5,20,13,1.1875,4,4.0,0.21052631578947367,11,1,24,1:python,4,0.55,early,1,1.0,False,3,2.2,3,2.67,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14496,resolved,unknown,11,11,2,12,10,1.0,1,3.0,0.09090909090909091,3,3,13,8:submit,2,0.25,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,2,1,False,False,False,N/A,1,1.0,1,0,0,1,0,0
sympy__sympy-17318,unresolved,unknown,22,24,5,23,20,1.0909090909090908,3,1.6666666666666667,0.125,2,1,29,1:python,3,0.68,mixed,2,1.13,True,2,1.8,6,5.0,True,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-14087,unresolved,unknown,10,12,2,12,6,1.2,3,3.0,0.25,4,2,14,1:python,3,0.38,early,2,1.0,False,2,2.0,2,1.5,True,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15103,resolved,unknown,15,15,5,14,14,1.0,1,2.0,0.06666666666666667,2,2,20,13:submit,2,0.38,early,1,1.0,False,3,2.67,3,2.0,False,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14238,unresolved,unknown,19,35,1,27,9,1.4210526315789473,9,3.0,0.2571428571428571,4,2,36,5:cd,9,0.11,early,2,1.0,False,2,1.5,2,1.5,False,1,False,False,7,7,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-23950,resolved,unknown,11,12,2,13,9,1.0909090909090908,2,2.0,0.16666666666666666,2,2,14,4:python,2,0.38,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-13878,unresolved,unknown,33,33,16,34,32,1.0,1,2.0,0.030303030303030304,2,2,49,31:submit,2,0.59,mixed,10,1.0,False,4,3.93,13,4.25,True,1,False,True,10,10,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-9673,unsubmitted,unknown,20,23,5,19,14,1.1,3,3.3333333333333335,0.08695652173913043,4,2,28,11:cd,4,0.29,early,3,1.0,False,4,3.0,2,1.5,False,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16569,resolved,unknown,11,13,2,12,9,1.0909090909090908,2,3.0,0.15384615384615385,3,3,15,4:cd,2,0.36,early,2,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25102,unresolved,unknown,16,24,2,20,11,1.25,5,2.8,0.20833333333333334,3,2,26,7:cd,5,0.12,early,1,1.0,False,2,2.0,2,1.5,False,1,False,False,6,6,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-21847,resolved,unknown,16,17,5,18,13,1.0625,2,2.5,0.11764705882352941,3,2,22,6:python,2,0.39,early,1,1.0,False,4,4.0,3,1.5,True,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15277,resolved,unknown,13,13,3,13,12,1.0,1,3.0,0.07692307692307693,3,3,16,10:submit,2,0.29,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,2,1,False,False,False,N/A,1,1.0,1,0,0,1,0,0
pylint-dev__pylint-8898,unresolved,unknown,8,9,0,9,6,1.125,2,3.0,0.2222222222222222,3,3,9,1:python,2,0.3,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
psf__requests-2317,unresolved,unknown,14,17,2,18,9,1.2142857142857142,4,2.5,0.23529411764705882,3,2,19,5:python,4,0.33,early,1,1.0,False,2,1.67,2,2.0,True,0,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-23412,resolved,unknown,10,11,4,11,8,1.1,2,4.0,0.18181818181818182,7,1,15,1:python,2,0.58,early,1,1.0,False,4,4.0,2,1.25,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-16792,unresolved,unknown,18,131,3,83,9,1.5,13,3.769230769230769,0.37404580152671757,6,2,134,4:python,29,0.41,mixed,28,6.0,True,2,2.0,46,24.0,True,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-12481,unresolved,unknown,29,88,7,89,16,1.3103448275862069,10,3.1,0.3977272727272727,9,2,95,20:python,32,0.19,early,2,1.06,True,5,4.5,3,1.6,True,0,False,False,34,34,True,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-12096,resolved,unknown,12,14,3,13,10,1.0833333333333333,2,2.5,0.14285714285714285,3,2,17,6:cd,2,0.27,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-24066,resolved,unknown,15,17,0,18,12,1.1333333333333333,3,2.0,0.17647058823529413,2,2,17,6:python,2,0.39,early,1,1.0,False,1,1.0,5,5.0,False,4,False,False,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13794,unresolved,unknown,10,12,2,13,7,1.2,3,2.0,0.25,2,2,14,4:python,3,0.38,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16901,unresolved,unknown,18,34,1,26,9,1.4444444444444444,9,2.888888888888889,0.2647058823529412,3,2,35,5:cd,9,0.06,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,6,5,True,False,False,N/A,1,1.0,1,0,1,0,0,0
pydata__xarray-4094,unresolved,unknown,44,52,6,53,33,1.1818181818181819,10,7.4,0.17307692307692307,27,2,58,7:python,8,0.25,early,2,1.0,False,4,3.67,3,1.75,True,1,False,False,29,29,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-23299,unresolved,unknown,13,14,2,15,11,1.0769230769230769,2,5.5,0.14285714285714285,9,2,16,1:python,2,0.53,early,2,1.0,False,2,1.67,2,2.0,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-10908,unresolved,unknown,10,11,2,11,8,1.1,2,4.5,0.18181818181818182,7,2,13,1:python,2,0.58,early,1,1.0,False,2,2.0,2,1.5,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16485,resolved,unknown,11,11,2,11,10,1.0,1,2.0,0.09090909090909091,2,2,13,9:submit,2,0.25,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-7336,resolved,unknown,6,7,0,8,4,1.1666666666666667,2,2.5,0.2857142857142857,3,2,7,1:python,2,0.12,middle,1,1.0,False,1,1.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13033,unresolved,unknown,24,34,5,35,10,1.4166666666666667,11,2.8181818181818183,0.3235294117647059,6,2,39,1:python,11,0.51,early,3,1.29,True,2,2.0,5,4.0,False,1,False,False,7,7,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-9602,unresolved,unknown,39,157,12,145,25,1.2820512820512822,12,3.0,0.37579617834394907,4,2,169,36:str_replace_editor: str_replace,50,0.09,early,4,1.0,False,4,2.5,8,3.25,False,5,False,True,116,14,False,True,False,N/A,100,34.0,3,1,0,101,0,0
astropy__astropy-14096,resolved,unknown,9,10,1,11,7,1.1111111111111112,2,2.5,0.2,3,2,11,3:python,2,0.36,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13109,resolved,unknown,7,7,2,8,6,1.0,1,2.0,0.14285714285714285,2,2,9,5:submit,2,0.38,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14580,unresolved,unknown,6,6,1,7,5,1.0,1,2.0,0.16666666666666666,2,2,7,4:submit,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-3095,unresolved,unknown,36,55,13,46,22,1.2777777777777777,11,4.545454545454546,0.18181818181818182,15,2,68,8:cd,10,0.38,middle,3,1.05,True,5,4.11,9,3.0,True,1,False,True,8,7,False,False,False,N/A,1,1.0,1,0,1,0,0,0
django__django-14315,unresolved,unknown,11,15,2,13,8,1.1818181818181819,3,2.6666666666666665,0.2,3,2,17,4:cd,3,0.31,early,2,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
matplotlib__matplotlib-24627,resolved,unknown,15,15,5,16,14,1.0,1,2.0,0.06666666666666667,2,2,20,13:submit,2,0.56,early,1,1.0,False,4,4.0,3,1.5,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15315,resolved,unknown,12,18,2,15,8,1.25,4,2.75,0.2222222222222222,3,2,20,4:cd,4,0.47,early,4,1.29,True,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13158,unresolved,unknown,24,44,5,34,11,1.4166666666666667,11,3.090909090909091,0.25,4,2,49,8:cd,11,0.18,early,3,1.0,False,4,3.33,2,1.5,True,1,False,False,5,5,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-13439,resolved,unknown,10,11,2,11,6,1.1,2,3.0,0.18181818181818182,4,2,13,3:python,2,0.42,early,2,1.0,False,3,3.0,1,1.0,False,0,False,False,2,1,False,False,False,"('localization',)",1,1.0,1,1,0,0,0,0
sphinx-doc__sphinx-7590,unresolved,unknown,9,9,4,10,8,1.0,1,2.0,0.1111111111111111,2,2,13,7:submit,2,0.5,early,1,1.0,False,4,3.0,2,1.25,True,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-19495,unresolved,unknown,20,145,4,146,7,1.45,10,2.4,0.4689655172413793,4,2,149,4:python,68,0.1,early,2,1.36,True,4,3.5,2,1.25,False,1,False,False,65,64,True,False,False,N/A,1,1.0,1,0,1,0,0,0
pydata__xarray-3677,resolved,unknown,7,8,0,8,5,1.1428571428571428,2,2.5,0.25,3,2,8,1:python,2,0.33,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-14182,unresolved,unknown,11,13,2,12,9,1.0909090909090908,2,2.5,0.15384615384615385,3,2,15,5:cd,2,0.21,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15916,unresolved,unknown,11,15,1,13,8,1.1818181818181819,3,2.6666666666666665,0.2,3,2,16,4:cd,3,0.12,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15017,unresolved,unknown,9,10,2,11,7,1.1111111111111112,2,2.0,0.2,2,2,12,4:python,2,0.45,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13346,unresolved,unknown,18,105,1,73,6,1.5555555555555556,11,3.0,0.3142857142857143,4,1,106,3:cd,33,0.06,early,3,1.2,True,2,2.0,1,1.0,False,0,False,False,34,31,True,True,False,N/A,2,1.5,2,0,3,0,0,0
django__django-16950,unresolved,unknown,18,25,3,21,13,1.2222222222222223,5,3.0,0.16,4,2,28,7:cd,5,0.62,mixed,8,1.23,True,3,3.0,2,1.33,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
scikit-learn__scikit-learn-25973,unresolved,unknown,11,14,0,14,6,1.2727272727272727,4,2.75,0.2857142857142857,4,2,14,1:python,4,0.2,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16256,unresolved,unknown,14,14,4,15,13,1.0,1,2.0,0.07142857142857142,2,2,18,12:submit,2,0.33,early,3,1.0,False,3,2.67,2,1.67,True,0,False,True,5,5,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-13741,resolved,unknown,6,6,1,7,5,1.0,1,2.0,0.16666666666666666,2,2,7,4:submit,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-14539,resolved,unknown,10,11,3,11,7,1.1,2,2.5,0.18181818181818182,3,2,14,4:python,2,0.5,early,1,1.0,False,4,4.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-16315,unresolved,unknown,16,23,4,19,10,1.25,5,2.8,0.21739130434782608,3,2,27,6:cd,5,0.21,early,1,1.0,False,3,2.67,2,1.67,False,2,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-20916,unresolved,unknown,16,26,4,21,7,1.3125,6,3.3333333333333335,0.23076923076923078,5,2,30,3:cd,6,0.33,early,4,1.12,True,4,3.5,2,1.25,False,1,False,False,3,3,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15572,unresolved,unknown,15,15,9,16,14,1.0,1,2.0,0.06666666666666667,2,2,24,13:submit,2,0.69,mixed,1,1.0,False,3,2.25,7,3.33,False,7,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11206,unresolved,unknown,19,29,4,24,10,1.263157894736842,6,3.5,0.20689655172413793,6,2,33,5:cd,6,0.37,early,5,1.22,True,4,3.0,2,1.25,False,1,False,True,6,3,False,False,False,"('localization',)",2,1.5,2,3,0,0,0,0
sphinx-doc__sphinx-8265,unresolved,unknown,8,8,0,9,7,1.0,1,2.0,0.125,2,2,8,6:submit,2,0.56,early,1,1.0,False,1,1.0,1,1.0,False,1,False,False,0,0,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-15599,unresolved,unknown,7,8,0,9,5,1.1428571428571428,2,2.0,0.25,2,2,8,2:python,2,0.33,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sphinx-doc__sphinx-8721,resolved,unknown,6,6,1,7,5,1.0,1,2.0,0.16666666666666666,2,2,7,4:submit,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
